nome,genero,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par ,salario_bruto_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,quant_viagem
 CHRISTINE NOGUEIRA DOS REIS TONIETTO,F,88,4,2,59,10,4,14/05/1991,133178.31,11369.6,10173.11,9970.3,13872.46,12050.51,19466.91,25628.43,11169.95,3255.31,15855.62,366.11,33763.0,789351.13,69040.75,69101.84,69101.84,71632.9,76266.55,85504.27,88597.5,88597.5,88597.5,82910.48,0
 CHRISTIANE DE SOUZA YARED,F,83,9,9,27,11,6,23/02/1960,330395.35,23957.3,44324.43,35762.57,54189.41,41149.82,32246.76,23122.06,18987.0,15446.67,40295.66,913.67,33763.0,1091077.27,108772.44,108772.44,108772.44,108772.44,108366.22,104176.55,111586.94,111586.94,111586.94,108683.92,0
 CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA,F,86,6,0,37,14,0,02/07/1982,297350.01,7971.69,16907.3,54747.61,49861.8,57969.92,53352.84,20869.99,15804.77,9631.78,10118.65,113.66,33763.0,1112908.07,110918.38,110319.03,110945.19,111532.21,111532.21,111532.21,111532.21,111532.21,111532.21,111532.21,0
 DANIELA MOTE DE SOUZA CARNEIRO,F,80,12,10,42,18,9,10/02/1976,309318.38,35968.58,36604.61,48540.64,61049.56,50236.04,27308.97,20808.56,13155.35,11253.04,4366.75,26.28,33763.0,1097670.85,111004.43,110578.75,110970.4,111234.95,111234.95,111234.95,111234.95,110155.05,109870.15,100152.27,0
 SORAYA DE SOUZA MANNATO,F,92,0,0,111,64,0,10/03/1961,289649.17,31353.75,37397.79,57239.48,36607.77,43635.09,15176.75,23098.74,18128.98,8706.64,18304.18,0.0,33763.0,1100822.25,111501.77,111501.77,110559.03,110173.36,110920.06,110221.1,107709.88,107907.12,109518.27,110809.89,0
 DULCE FERREIRA PAGANI MIRANDA,F,84,8,8,78,19,11,15/12/1963,385152.2,17405.28,54422.42,66007.2,43629.27,48597.93,16964.63,42936.18,44081.35,12900.31,38029.26,178.37,33763.0,1102626.13,111515.73,108469.11,109947.21,108778.45,110497.62,110780.17,110780.17,110780.17,110297.33,110780.17,0
 ELCIONE THEREZINHA ZAHLUTH BARBALHO,F,74,18,8,11,18,3,05/10/1944,324749.25,18282.77,21903.47,42172.9,54698.46,50424.42,44680.57,25428.51,30182.96,15955.03,18147.74,2872.42,33763.0,1090868.22,109942.97,108266.63,106606.75,106963.42,110173.43,110012.89,110173.43,111342.81,111617.17,105768.72,0
 VANDA DENIR MILANI NOGUEIRA,F,72,20,13,31,33,11,17/09/1953,395931.24,45066.55,49027.62,29462.19,36127.46,71009.98,22618.07,41106.51,44816.37,25900.0,30796.49,0.0,33763.0,1103843.63,109028.91,110980.61,111507.9,109468.16,111544.28,110383.9,111280.73,111580.69,111580.69,106487.76,0
 ÉRIKA JUCÁ KOKAY,F,90,2,1,132,17,1,15/08/1957,220065.03,21175.36,26961.36,57030.55,8623.76,69810.79,1267.02,375.92,393.19,354.58,33212.46,860.04,33763.0,1104968.28,106905.18,108909.18,111417.57,111495.83,111623.02,111495.84,110449.2,109666.7,111532.23,111473.53,0
 FERNANDA MELCHIONNA E SILVA,F,88,4,1,54,9,0,02/02/1984,305160.05,20500.17,21194.89,56736.14,41442.21,70363.57,28035.03,34736.5,7126.13,2302.5,17867.64,4855.27,33763.0,1089686.56,108969.03,110770.2,111295.57,111471.67,111471.67,111005.21,108790.95,108173.01,107268.84,100470.41,0
 Geovânia de Sá,F,91,1,1,15,0,0,30/03/1972,308059.34,24548.31,31895.95,46155.4,48301.66,38575.18,41038.25,24556.46,10926.74,3937.68,25683.39,12440.32,33763.0,1099857.22,111111.81,111610.95,111659.69,111659.69,110768.99,110692.78,103468.98,111168.24,111168.24,106547.85,0
 GLEISI HELENA HOFFMANN,F,66,26,26,3,5,1,06/09/1965,373767.14,48759.04,47652.4,59416.08,55375.62,43129.42,20852.42,26211.68,23293.93,17899.82,29734.54,1442.19,33763.0,1115264.2,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,0
 FLÁVIA CARREIRO ALBUQUERQUE MORAIS,F,86,6,6,123,4,4,26/04/1969,296315.47,31961.04,33702.59,35431.93,33636.11,33829.17,29972.17,26739.93,26234.48,22945.49,21783.99,78.57,33763.0,1110232.7,110555.68,110555.68,110555.68,110555.68,111091.22,110994.42,111182.0,111580.78,111580.78,111580.78,0
 JANDIRA FEGHALI,F,91,1,0,41,28,0,17/05/1957,304962.13,16677.6,41606.05,42043.96,41561.42,33766.08,35266.15,30544.63,18967.72,23146.67,20529.15,852.7,33763.0,1091025.08,111186.43,110346.75,110883.15,110883.15,110883.15,110883.15,106843.71,109640.24,105683.13,103792.22,0
 DIRLAINE JAQUELINE CASSOL,F,81,11,8,47,23,8,03/12/1974,301704.59,38881.19,35836.11,33841.17,57249.08,71115.17,20997.72,21444.7,11534.22,2240.92,7424.0,1140.31,33763.0,1101655.82,111665.59,111362.29,107986.55,110884.32,111208.12,110180.25,108177.15,110472.02,111321.85,108397.68,0
 JOICE CRISTINA HASSELMANN,F,87,5,5,57,6,3,29/01/1978,301731.55,25636.1,21173.13,72944.98,50332.77,44859.38,25702.26,16939.86,18265.67,20711.16,5166.24,0.0,33763.0,1031958.41,99430.88,106641.61,98487.95,101062.57,108786.73,110597.86,108539.98,102509.19,97950.82,97950.82,0
 JESSICA ROJAS SALES,F,42,50,45,0,18,16,28/11/1980,372946.86,36557.22,42553.73,47072.55,56770.07,58428.19,3133.62,11486.12,8024.13,2921.23,106000.0,0.0,33763.0,1115845.95,111568.56,111568.56,111568.56,111568.56,111568.56,111568.56,111568.56,111571.11,111647.46,111647.46,0
 LAURIETE RODRIGUES DE JESUS,F,89,3,3,48,4,2,23/02/1970,275072.63,28596.39,36787.02,28706.65,38112.66,49288.05,30104.05,18543.11,15764.41,15009.24,7961.74,6199.31,33763.0,1078709.33,104287.85,105889.29,107644.06,107644.06,107976.91,100506.22,110346.11,111471.61,111471.61,111471.61,0
 LUIZA ERUNDINA DE SOUSA,F,78,14,14,37,23,9,30/11/1934,222485.05,17316.28,17369.22,13312.38,23549.05,49196.58,41316.33,41450.36,18601.72,126.15,0.0,246.98,33763.0,984473.08,106370.19,98801.78,96737.67,96737.67,96737.67,96737.67,96737.67,96737.67,96737.67,102137.42,0
 LÍDICE DA MATA E SOUZA,F,89,3,3,56,4,4,12/03/1956,314013.21,24968.53,36055.08,41685.69,36945.93,64741.89,25591.94,29647.64,17038.04,9156.67,25337.58,2844.22,33763.0,1097526.02,105717.75,109880.24,107918.25,107472.66,111089.52,111089.52,111089.52,111089.52,111089.52,111089.52,0
 LEDA MARIA SADALA BRITO,F,72,20,18,24,23,8,11/06/1966,359497.14,32892.4,30026.99,55796.31,53049.21,51266.85,41748.71,31911.86,37292.55,15145.93,10021.33,345.0,33763.0,1101943.16,111429.13,111306.3,109662.6,107931.96,110017.93,110446.45,110633.94,109994.1,111659.63,108861.12,0
 LUIZIANNE DE OLIVEIRA LINS,F,82,10,7,5,16,6,18/11/1968,394965.38,43009.21,49188.28,62832.39,40398.85,50556.05,27655.84,25583.94,56182.22,8648.41,30543.49,366.7,33763.0,1116014.42,111647.55,111647.55,111647.55,111647.55,111647.55,111647.55,111532.28,111532.28,111532.28,111532.28,0
 LUISA CANZIANI DOS SANTOS SILVEIRA,F,82,10,0,18,48,0,11/04/1996,294512.99,27680.49,45240.66,38296.02,34716.65,40742.27,35801.06,23760.78,18969.09,8973.68,13325.09,7007.2,33763.0,1065687.38,111489.76,107944.29,101185.89,106123.31,110764.8,108871.95,100476.78,99154.41,109664.15,110012.04,0
 MAGDA MOFATTO HON,F,77,15,3,28,42,6,26/10/1948,248362.06,41429.43,31068.63,47136.54,47632.39,46414.73,19428.88,6001.17,8505.69,395.33,349.27,0.0,33763.0,1079760.32,103642.03,111061.35,110458.33,109242.74,110160.73,111392.46,111429.23,111429.23,100201.81,100742.41,0
 FABIANA SILVA DE SOUZA,F,76,16,11,22,4,4,09/01/1980,253074.32,19669.14,45316.31,58832.43,30152.26,32781.41,27385.49,25479.97,6199.02,5005.38,1966.38,286.53,33763.0,1113455.24,111544.24,111438.52,111398.27,111315.37,111119.65,111039.6,111350.2,111350.2,111554.84,111344.35,0
 CYLMARA FERNANDES DA ROCHA GRIPP,F,77,15,14,30,22,6,04/09/1973,431336.2,56886.05,57867.3,54199.26,62724.01,46657.4,33841.62,21007.85,23443.28,30345.94,44363.49,0.0,33763.0,1108625.39,110779.96,110779.96,110779.96,110779.96,110779.96,109894.35,110779.96,110983.86,111574.61,111492.81,0
 MARIA DO ROSÁRIO NUNES,F,77,15,6,48,34,12,22/11/1966,390396.84,45949.2,43740.41,69986.28,49177.17,42746.98,41192.91,36138.61,26246.21,12312.33,20719.64,2187.1,33763.0,1090821.34,108772.35,108772.35,108876.06,111047.03,106150.54,107898.86,108449.48,109367.19,110743.74,110743.74,0
 MARÍLIA VALENÇA ROCHA ARRAES DE ALENCAR,F,64,28,21,3,10,5,12/04/1984,287696.14,13902.07,25170.41,93784.61,29683.86,54406.01,14216.62,21165.2,14176.43,9508.71,10398.31,1283.91,33763.0,1069269.96,108653.71,111429.12,111429.12,109087.1,107972.58,111617.16,110853.68,111354.04,98888.69,87984.76,0
 MARINA SANTOS BATISTA DIAS,F,90,2,2,6,13,1,13/09/1980,357545.02,23811.47,41587.12,38764.57,41760.61,35827.39,43099.71,38934.07,25951.64,26865.0,39929.24,1014.2,33763.0,1114463.33,111495.88,111495.88,111311.17,111495.87,111185.14,111495.87,111495.88,111495.88,111495.88,111495.88,0
 KATIA DA SILVA SASTRE,F,91,1,0,38,19,0,04/04/1976,373876.63,34893.09,34694.24,64166.28,35385.2,36339.7,38923.8,34961.86,43018.05,29335.74,22064.62,94.05,33763.0,1056090.36,107322.54,104138.84,105140.2,105895.02,105351.11,96070.39,98655.82,111265.29,111265.29,110985.86,0
 DAYANE JAMILLE CARNEIRO DOS SANTOS PIMENTEL,F,67,25,17,24,29,13,30/01/1986,221802.92,24757.35,14536.29,33354.13,32630.75,38636.18,25835.19,21096.42,20196.27,4322.45,6205.76,232.13,33763.0,1091268.51,103819.39,108270.5,109719.5,110069.34,110134.52,109472.23,110404.13,110404.13,110398.05,108576.72,0
 MARCIVANIA DO SOCORRO DA ROCHA FLEXA,F,91,1,0,34,7,0,21/06/1973,372925.42,73518.31,24414.79,47486.37,49562.35,28947.17,39390.78,27825.99,17943.62,7350.58,50485.46,6000.0,33763.0,1113310.62,111465.49,111400.5,110738.38,111378.13,111439.63,111111.26,111351.62,111476.44,111465.5,111483.67,0
 REJANE RIBEIRO SOUSA DIAS,F,90,2,0,65,33,0,04/09/1972,241957.13,16913.54,23065.31,34072.61,41316.06,35393.2,27658.11,30276.4,10634.6,10120.33,11597.34,909.63,33763.0,1022389.38,94123.29,94123.29,94123.29,96640.01,103386.0,97900.48,110730.33,111077.25,111077.25,109208.19,0
 ROSANA DE OLIVEIRA VALLE,F,87,5,3,44,4,2,08/05/1969,338573.46,21183.33,29131.46,53484.17,52840.25,41134.85,34551.95,41195.46,30834.9,20867.06,13125.31,224.72,33763.0,1050130.62,107098.26,107098.26,107098.26,107098.26,100284.96,91133.79,106579.32,107632.04,109901.08,106206.39,0
 SORAYA ALENCAR DOS SANTOS,F,90,2,2,29,16,0,04/12/1958,247739.6,30377.64,25882.69,44839.17,32605.66,18501.89,34461.17,25720.88,19262.46,5904.46,9654.69,528.89,33763.0,1088262.38,109912.12,110159.23,104418.43,104366.11,108917.92,108917.92,109011.86,110852.93,110852.93,110852.93,0
 SHÉRIDAN ESTÉRFANY OLIVEIRA RAMOS,F,53,39,35,0,3,0,11/04/1984,406013.67,47717.67,50310.81,47454.5,20489.75,41030.4,35713.64,41489.54,36464.07,37465.47,41866.9,6010.92,33763.0,1045548.64,104351.76,98699.47,100259.52,100363.57,99170.39,111192.45,104911.24,108772.24,109791.3,108036.7,0
 SAMIA DE SOUZA BOMFIM,F,78,14,14,32,3,0,22/08/1989,320776.66,29863.31,33173.07,52100.08,33373.57,49527.82,25800.86,31637.36,25034.27,10727.26,25539.06,4000.0,33763.0,1089070.53,101425.05,108439.14,108239.71,106353.47,110257.66,110871.1,110871.1,110871.1,110871.1,110871.1,0
 SILVIA CRISTINA AMANCIO CHAGAS,F,89,3,2,55,36,5,15/01/1974,326142.16,38497.24,41381.49,41593.07,52095.78,77841.57,30489.93,21356.3,8189.34,4412.39,7253.38,3031.67,33763.0,1112657.25,111374.48,110870.15,110767.11,111370.23,111247.85,111259.6,111526.12,111514.99,111410.91,111315.81,0
 TALIRIA PETRONE SOARES,F,76,16,14,27,51,19,09/04/1985,273733.18,35801.22,32189.96,31865.89,45403.28,29413.08,37323.98,24098.94,23355.39,10439.8,3279.24,562.4,33763.0,1114287.26,111647.51,111647.51,111647.51,111555.29,111584.31,111647.53,111647.53,110216.76,111417.0,111276.31,0
 TEREZA NELMA DA SILVA PORTO VIANA SOARES,F,79,13,13,103,85,49,07/10/1957,366423.07,42581.54,41297.61,47878.77,54271.73,56885.66,33460.03,30126.11,27479.91,24726.16,3330.45,4385.1,33763.0,1096693.18,111471.49,109973.66,109423.19,109733.42,109422.19,104705.24,109483.86,110785.88,110860.47,110833.78,0
